Ticker,Nome,Setor,Preço Atual,P/L (P/E),P/VP (P/B),Div. Yield (%),Market Cap,ROE (%),ROIC (%),Data IPO,Lucro >0 (4A)?,Receita Sobe?
AIKI,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AIMC,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AIN,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AINV,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AIO,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AIQ,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AIR,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AIRC,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AIRG,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AIRR,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AIRT,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AIRTP,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AIRTW,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AL,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALAC,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALACR,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALACU,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALACW,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALB,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALBO,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALC,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALCO,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALDX,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALE,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALEC,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALEX,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALG,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALGM,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALGN,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALGS,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALGT,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALIM,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALIN^A,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALIN^B,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALIN^E,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALJJ,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALK,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALKS,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AIT,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AIV,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AIW,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AIZ,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AIZN,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AIZP,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AJAX,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AJAX.U,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AJAX.WS,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AJG,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AJRD,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AJX,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AJXA,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AKAM,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AKBA,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AKER,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AKICU,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AKO.A,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AKO.B,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AKR,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AKRO,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AKTS,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AKTX,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AKU,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AKUS,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALL,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALLE,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALLK,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALLO,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALLT,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALLY,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALLY^A,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALL^B,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALL^G,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALL^H,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALL^I,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALNA,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALNY,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALOS3.SA,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALOT,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALPA3.SA,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALPN,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALP^Q,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALRM,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALRN,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALRS,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALSK,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALSN,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALT,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALTA,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALTG,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALTG.WS,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALTM,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALTR,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALTUU,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALTY,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALUS,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALUS.U,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALUS.WS,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALV,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALVR,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALX,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALXN,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALXO,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
ALYA,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AL^A,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AM,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AMAL,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AMAT,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AMBA,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AMBC,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AMBC.WS,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AMC,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AMCA,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AMCI,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AMCIU,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AMCIW,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AMCR,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AMCX,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AMD,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AME,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AMED,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AMEH,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AMG,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AMGN,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AMH,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AMHC,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AMHCU,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AMHCW,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AMH^D,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AMH^E,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AMH^F,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AMH^G,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
